Date,price
02/04/2019,4879.87793
03/04/2019,4973.021973
04/04/2019,4922.798828
05/04/2019,5036.681152
06/04/2019,5059.817383
07/04/2019,5198.896973
08/04/2019,5289.770996
09/04/2019,5204.958496
10/04/2019,5324.551758
11/04/2019,5064.487793
12/04/2019,5089.539063
13/04/2019,5096.586426
14/04/2019,5167.722168
15/04/2019,5067.108398
16/04/2019,5235.55957
17/04/2019,5251.937988
18/04/2019,5298.385742
19/04/2019,5303.8125
20/04/2019,5337.88623
21/04/2019,5314.53125
22/04/2019,5399.365234
23/04/2019,5572.362305
24/04/2019,5464.866699
25/04/2019,5210.515625
26/04/2019,5279.348145
27/04/2019,5268.291016
28/04/2019,5285.13916
29/04/2019,5247.352539
30/04/2019,5350.726563
01/05/2019,5402.697266
02/05/2019,5505.283691
03/05/2019,5768.289551
04/05/2019,5831.16748
05/05/2019,5795.708496
06/05/2019,5746.807129
07/05/2019,5829.501465
08/05/2019,5982.45752
09/05/2019,6174.528809
10/05/2019,6378.849121
11/05/2019,7204.771484
12/05/2019,6972.371582
13/05/2019,7814.915039
14/05/2019,7994.416016
15/05/2019,8205.167969
16/05/2019,7884.90918
17/05/2019,7343.895508
18/05/2019,7271.208008
19/05/2019,8197.689453
20/05/2019,7978.309082
21/05/2019,7963.327637
22/05/2019,7680.066406
23/05/2019,7881.84668
24/05/2019,7987.371582
25/05/2019,8052.543945
26/05/2019,8673.21582
27/05/2019,8805.77832
28/05/2019,8719.961914
29/05/2019,8659.487305
30/05/2019,8319.472656
31/05/2019,8574.501953
01/06/2019,8564.016602
02/06/2019,8742.958008
03/06/2019,8208.995117
04/06/2019,7707.770996
05/06/2019,7824.231445
06/06/2019,7822.023438
07/06/2019,8043.951172
08/06/2019,7954.12793
09/06/2019,7688.077148
10/06/2019,8000.32959
11/06/2019,7927.714355
12/06/2019,8145.857422
13/06/2019,8230.923828
14/06/2019,8693.833008
15/06/2019,8838.375
16/06/2019,8994.488281
17/06/2019,9320.352539
18/06/2019,9081.762695
19/06/2019,9273.521484
20/06/2019,9527.160156
21/06/2019,10144.55664
22/06/2019,10701.69141
23/06/2019,10855.37109
24/06/2019,11011.10254
25/06/2019,11790.91699
26/06/2019,13016.23145
27/06/2019,11182.80664
28/06/2019,12407.33203
29/06/2019,11959.37109
30/06/2019,10817.15527
01/07/2019,10583.13477
02/07/2019,10801.67773
03/07/2019,11961.26953
04/07/2019,11215.4375
05/07/2019,10978.45996
06/07/2019,11208.55078
07/07/2019,11450.84668
08/07/2019,12285.95801
09/07/2019,12573.8125
10/07/2019,12156.5127
11/07/2019,11358.66211
12/07/2019,11815.98633
13/07/2019,11392.37891
14/07/2019,10256.05859
15/07/2019,10895.08984
16/07/2019,9477.641602
17/07/2019,9693.802734
18/07/2019,10666.48242
19/07/2019,10530.73242
20/07/2019,10767.13965
21/07/2019,10599.10547
22/07/2019,10343.10645
23/07/2019,9900.767578
24/07/2019,9811.925781
25/07/2019,9911.841797
26/07/2019,9870.303711
27/07/2019,9477.677734
28/07/2019,9552.860352
29/07/2019,9519.145508
30/07/2019,9607.423828
31/07/2019,10085.62793
01/08/2019,10399.66895
02/08/2019,10518.17481
03/08/2019,10821.72656
04/08/2019,10970.18457
05/08/2019,11805.65332
06/08/2019,11478.16895
07/08/2019,11941.96875
08/08/2019,11966.40723
09/08/2019,11862.93652
10/08/2019,11354.02441
11/08/2019,11523.5791
12/08/2019,11382.61621
13/08/2019,10895.83008
14/08/2019,10051.7041
15/08/2019,10311.5459
16/08/2019,10374.33887
17/08/2019,10231.74414
18/08/2019,10345.81055
19/08/2019,10916.05371
20/08/2019,10763.23242
21/08/2019,10138.04981
22/08/2019,10131.05566
23/08/2019,10407.96484
24/08/2019,10159.96094
25/08/2019,10138.51758
26/08/2019,10370.82031
27/08/2019,10185.5
28/08/2019,9754.422852
29/08/2019,9510.200195
30/08/2019,9598.173828
31/08/2019,9630.664063
01/09/2019,9757.970703
02/09/2019,10346.76074
03/09/2019,10623.54004
04/09/2019,10594.49316
05/09/2019,10575.5332
06/09/2019,10353.30273
07/09/2019,10517.25488
08/09/2019,10441.27637
09/09/2019,10334.97461
10/09/2019,10115.97559
11/09/2019,10178.37207
12/09/2019,10410.12695
13/09/2019,10360.54688
14/09/2019,10358.04883
15/09/2019,10347.71289
16/09/2019,10276.79395
17/09/2019,10241.27246
18/09/2019,10198.24805
19/09/2019,10266.41504
20/09/2019,10181.6416
21/09/2019,10019.7168
22/09/2019,10070.39258
23/09/2019,9729.324219
24/09/2019,8620.566406
25/09/2019,8486.993164
26/09/2019,8118.967773
27/09/2019,8251.845703
28/09/2019,8245.915039
29/09/2019,8104.185547
30/09/2019,8293.868164
01/10/2019,8343.276367
02/10/2019,8393.041992
03/10/2019,8259.992188
04/10/2019,8205.939453
05/10/2019,8151.500488
06/10/2019,7988.155762
07/10/2019,8245.623047
08/10/2019,8228.783203
09/10/2019,8595.740234
10/10/2019,8586.473633
11/10/2019,8321.756836
12/10/2019,8336.555664
13/10/2019,8321.005859
14/10/2019,8374.686523
15/10/2019,8205.369141
16/10/2019,8047.526855
17/10/2019,8103.911133
18/10/2019,7973.20752
19/10/2019,7988.560547
20/10/2019,8222.078125
21/10/2019,8243.720703
22/10/2019,8078.203125
23/10/2019,7514.671875
24/10/2019,7493.48877
25/10/2019,8660.700195
26/10/2019,9244.972656
27/10/2019,9551.714844
28/10/2019,9256.148438
29/10/2019,9427.6875
30/10/2019,9205.726563
31/10/2019,9199.584961
01/11/2019,9261.104492
02/11/2019,9324.717773
03/11/2019,9235.354492
04/11/2019,9412.612305
05/11/2019,9342.527344
06/11/2019,9360.879883
07/11/2019,9267.561523
08/11/2019,8804.880859
09/11/2019,8813.582031
10/11/2019,9055.526367
11/11/2019,8757.788086
12/11/2019,8815.662109
13/11/2019,8808.262695
14/11/2019,8708.094727
15/11/2019,8491.992188
16/11/2019,8550.760742
17/11/2019,8577.975586
18/11/2019,8309.286133
19/11/2019,8206.145508
20/11/2019,8027.268066
21/11/2019,7642.75
22/11/2019,7296.577637
23/11/2019,7397.796875
24/11/2019,7047.916992
25/11/2019,7146.133789
26/11/2019,7218.371094
27/11/2019,7531.663574
28/11/2019,7463.105957
29/11/2019,7761.243652
30/11/2019,7569.629883
01/12/2019,7424.29248
02/12/2019,7321.988281
03/12/2019,7320.145508
04/12/2019,7252.034668
05/12/2019,7448.307617
06/12/2019,7546.996582
07/12/2019,7556.237793
08/12/2019,7564.345215
09/12/2019,7400.899414
10/12/2019,7278.119629
11/12/2019,7217.427246
12/12/2019,7243.134277
13/12/2019,7269.68457
14/12/2019,7124.673828
15/12/2019,7152.301758
16/12/2019,6932.480469
17/12/2019,6640.515137
18/12/2019,7276.802734
19/12/2019,7202.844238
20/12/2019,7218.816406
21/12/2019,7191.158691
22/12/2019,7511.588867
23/12/2019,7355.628418
24/12/2019,7322.532227
25/12/2019,7275.155762
26/12/2019,7238.966797
27/12/2019,7290.088379
28/12/2019,7317.990234
29/12/2019,7422.652832
30/12/2019,7292.995117
31/12/2019,7193.599121
01/01/2020,7200.174316
02/01/2020,6985.470215
03/01/2020,7344.884277
04/01/2020,7410.656738
05/01/2020,7411.317383
06/01/2020,7769.219238
07/01/2020,8163.692383
08/01/2020,8079.862793
09/01/2020,7879.071289
10/01/2020,8166.554199
11/01/2020,8037.537598
12/01/2020,8192.494141
13/01/2020,8144.194336
14/01/2020,8827.764648
15/01/2020,8807.010742
16/01/2020,8723.786133
17/01/2020,8929.038086
18/01/2020,8942.808594
19/01/2020,8706.245117
20/01/2020,8657.642578
21/01/2020,8745.894531
22/01/2020,8680.875977
23/01/2020,8406.515625
24/01/2020,8445.43457
25/01/2020,8367.847656
26/01/2020,8596.830078
27/01/2020,8909.819336
28/01/2020,9358.589844
29/01/2020,9316.629883
30/01/2020,9508.993164
31/01/2020,9350.529297
01/02/2020,9392.875
02/02/2020,9344.365234
03/02/2020,9293.521484
04/02/2020,9180.962891
05/02/2020,9613.423828
06/02/2020,9729.801758
07/02/2020,9795.943359
08/02/2020,9865.119141
09/02/2020,10116.67383
10/02/2020,9856.611328
11/02/2020,10208.23633
12/02/2020,10326.05469
13/02/2020,10214.37988
14/02/2020,10312.11621
15/02/2020,9889.424805
16/02/2020,9934.433594
17/02/2020,9690.142578
18/02/2020,10141.99609
19/02/2020,9633.386719
20/02/2020,9608.475586
21/02/2020,9686.441406
22/02/2020,9663.181641
23/02/2020,9924.515625
24/02/2020,9650.174805
25/02/2020,9341.705078
26/02/2020,8820.522461
27/02/2020,8784.494141
28/02/2020,8672.455078
29/02/2020,8599.508789
01/03/2020,8562.454102
02/03/2020,8869.669922
03/03/2020,8787.786133
04/03/2020,8755.246094
05/03/2020,9078.762695
06/03/2020,9122.545898
07/03/2020,8909.954102
08/03/2020,8108.116211
09/03/2020,7923.644531
10/03/2020,7909.729492
11/03/2020,7911.430176
12/03/2020,4970.788086
13/03/2020,5563.707031
14/03/2020,5200.366211
15/03/2020,5392.314941
16/03/2020,5014.47998
17/03/2020,5225.629395
18/03/2020,5238.438477
19/03/2020,6191.192871
20/03/2020,6198.77832
21/03/2020,6185.066406
22/03/2020,5830.254883
23/03/2020,6416.314941
24/03/2020,6734.803711
25/03/2020,6681.062988
26/03/2020,6716.44043
27/03/2020,6469.79834
28/03/2020,6242.193848
29/03/2020,5922.042969
30/03/2020,6429.841797
31/03/2020,6438.644531
01/04/2020,6606.776367
02/04/2020,6793.624512
03/04/2020,6733.387207
04/04/2020,6867.527344
05/04/2020,6791.129395
06/04/2020,7271.78125
07/04/2020,7176.414551
08/04/2020,7334.098633
09/04/2020,7302.089355
10/04/2020,6865.493164
11/04/2020,6859.083008
12/04/2020,6971.091797
13/04/2020,6845.037598
14/04/2020,6842.427734
15/04/2020,6642.109863
16/04/2020,7116.804199
17/04/2020,7096.18457
18/04/2020,7257.665039
19/04/2020,7189.424805
20/04/2020,6881.958496
21/04/2020,6880.323242
22/04/2020,7117.20752
23/04/2020,7429.724609
24/04/2020,7550.900879
25/04/2020,7569.936035
26/04/2020,7679.867188
27/04/2020,7795.601074
28/04/2020,7807.058594
29/04/2020,8801.038086
30/04/2020,8658.553711
01/05/2020,8864.766602
02/05/2020,8988.59668
03/05/2020,8897.46875
04/05/2020,8912.654297
05/05/2020,9003.070313
06/05/2020,9268.761719
07/05/2020,9951.518555
08/05/2020,9842.666016
09/05/2020,9593.896484
10/05/2020,8756.430664
11/05/2020,8601.795898
12/05/2020,8804.477539
13/05/2020,9269.987305
14/05/2020,9733.72168
15/05/2020,9328.197266
16/05/2020,9377.013672
17/05/2020,9670.739258
18/05/2020,9726.575195
19/05/2020,9729.038086
20/05/2020,9522.981445
21/05/2020,9081.761719
22/05/2020,9182.577148
23/05/2020,9209.287109
24/05/2020,8790.368164
25/05/2020,8906.93457
26/05/2020,8835.052734
27/05/2020,9181.017578
28/05/2020,9525.750977
29/05/2020,9439.124023
30/05/2020,9700.414063
31/05/2020,9461.058594
01/06/2020,10167.26856
02/06/2020,9529.803711
03/06/2020,9656.717773
04/06/2020,9800.636719
05/06/2020,9665.533203
