Date,Price
2/04/2019,"2,867.24"
3/04/2019,"2,873.40"
4/04/2019,"2,879.39"
5/04/2019,"2,892.74"
8/04/2019,"2,895.77"
9/04/2019,"2,878.20"
10/04/2019,"2,888.21"
11/04/2019,"2,888.32"
12/04/2019,"2,907.41"
15/04/2019,"2,905.58"
16/04/2019,"2,907.06"
17/04/2019,"2,900.45"
18/04/2019,"2,905.03"
22/04/2019,"2,907.97"
23/04/2019,"2,933.68"
24/04/2019,"2,927.25"
25/04/2019,"2,926.17"
26/04/2019,"2,939.88"
29/04/2019,"2,943.03"
30/04/2019,"2,945.83"
1/05/2019,"2,923.73"
2/05/2019,"2,917.52"
3/05/2019,"2,945.64"
6/05/2019,"2,932.47"
7/05/2019,"2,884.05"
8/05/2019,"2,879.42"
9/05/2019,"2,870.72"
10/05/2019,"2,881.40"
13/05/2019,"2,811.87"
14/05/2019,"2,834.41"
15/05/2019,"2,850.96"
16/05/2019,"2,876.32"
17/05/2019,"2,859.53"
20/05/2019,"2,840.23"
21/05/2019,"2,864.36"
22/05/2019,"2,856.27"
23/05/2019,"2,822.24"
24/05/2019,"2,826.06"
28/05/2019,"2,802.39"
29/05/2019,"2,783.02"
30/05/2019,"2,788.86"
31/05/2019,"2,752.06"
3/06/2019,"2,744.45"
4/06/2019,"2,803.27"
5/06/2019,"2,826.15"
6/06/2019,"2,843.49"
7/06/2019,"2,873.34"
10/06/2019,"2,886.73"
11/06/2019,"2,885.72"
12/06/2019,"2,879.84"
13/06/2019,"2,891.64"
14/06/2019,"2,886.98"
17/06/2019,"2,889.67"
18/06/2019,"2,917.75"
19/06/2019,"2,926.46"
20/06/2019,"2,954.18"
21/06/2019,"2,950.46"
24/06/2019,"2,945.35"
25/06/2019,"2,917.38"
26/06/2019,"2,913.78"
27/06/2019,"2,924.92"
28/06/2019,"2,941.76"
1/07/2019,"2,964.33"
2/07/2019,"2,973.01"
3/07/2019,"2,995.82"
5/07/2019,"2,990.41"
8/07/2019,"2,975.95"
9/07/2019,"2,979.63"
10/07/2019,"2,993.07"
11/07/2019,"2,999.91"
12/07/2019,"3,013.77"
15/07/2019,"3,014.30"
16/07/2019,"3,004.04"
17/07/2019,"2,984.42"
18/07/2019,"2,995.11"
19/07/2019,"2,976.61"
22/07/2019,"2,985.03"
23/07/2019,"3,005.47"
24/07/2019,"3,019.56"
25/07/2019,"3,003.67"
26/07/2019,"3,025.86"
29/07/2019,"3,020.97"
30/07/2019,"3,013.18"
31/07/2019,"2,980.38"
1/08/2019,"2,953.56"
2/08/2019,"2,932.05"
5/08/2019,"2,844.74"
6/08/2019,"2,881.77"
7/08/2019,"2,883.98"
8/08/2019,"2,938.09"
9/08/2019,"2,918.65"
12/08/2019,"2,883.75"
13/08/2019,"2,926.32"
14/08/2019,"2,840.60"
15/08/2019,"2,847.60"
16/08/2019,"2,888.68"
19/08/2019,"2,923.65"
20/08/2019,"2,900.51"
21/08/2019,"2,924.43"
22/08/2019,"2,922.95"
23/08/2019,"2,847.11"
26/08/2019,"2,878.38"
27/08/2019,"2,869.16"
28/08/2019,"2,887.94"
29/08/2019,"2,924.58"
30/08/2019,"2,926.46"
3/09/2019,"2,906.27"
4/09/2019,"2,937.78"
5/09/2019,"2,976.00"
6/09/2019,"2,978.71"
9/09/2019,"2,978.43"
10/09/2019,"2,979.39"
11/09/2019,"3,000.93"
12/09/2019,"3,009.57"
13/09/2019,"3,007.39"
16/09/2019,"2,997.96"
17/09/2019,"3,005.70"
18/09/2019,"3,006.73"
19/09/2019,"3,006.79"
20/09/2019,"2,992.07"
23/09/2019,"2,991.78"
24/09/2019,"2,966.60"
25/09/2019,"2,984.87"
26/09/2019,"2,977.62"
27/09/2019,"2,961.79"
30/09/2019,"2,976.74"
1/10/2019,"2,940.25"
2/10/2019,"2,887.61"
3/10/2019,"2,910.63"
4/10/2019,"2,952.01"
7/10/2019,"2,938.79"
8/10/2019,"2,893.06"
9/10/2019,"2,919.40"
10/10/2019,"2,938.13"
11/10/2019,"2,970.27"
14/10/2019,"2,966.15"
15/10/2019,"2,995.68"
16/10/2019,"2,989.69"
17/10/2019,"2,997.95"
18/10/2019,"2,986.20"
21/10/2019,"3,006.72"
22/10/2019,"2,995.99"
23/10/2019,"3,004.52"
24/10/2019,"3,010.29"
25/10/2019,"3,022.55"
28/10/2019,"3,039.42"
29/10/2019,"3,036.89"
30/10/2019,"3,046.77"
31/10/2019,"3,037.56"
1/11/2019,"3,066.91"
4/11/2019,"3,078.27"
5/11/2019,"3,074.62"
6/11/2019,"3,076.78"
7/11/2019,"3,085.18"
8/11/2019,"3,093.08"
11/11/2019,"3,087.01"
12/11/2019,"3,091.84"
13/11/2019,"3,094.04"
14/11/2019,"3,096.63"
15/11/2019,"3,120.46"
18/11/2019,"3,122.03"
19/11/2019,"3,120.18"
20/11/2019,"3,108.46"
21/11/2019,"3,103.54"
22/11/2019,"3,110.29"
25/11/2019,"3,133.64"
26/11/2019,"3,140.52"
27/11/2019,"3,153.63"
29/11/2019,"3,140.98"
2/12/2019,"3,113.87"
3/12/2019,"3,093.20"
4/12/2019,"3,112.76"
5/12/2019,"3,117.43"
6/12/2019,"3,145.91"
9/12/2019,"3,135.96"
10/12/2019,"3,132.52"
11/12/2019,"3,141.63"
12/12/2019,"3,168.57"
13/12/2019,"3,168.80"
16/12/2019,"3,191.45"
17/12/2019,"3,192.52"
18/12/2019,"3,191.14"
19/12/2019,"3,205.37"
20/12/2019,"3,221.22"
23/12/2019,"3,224.01"
24/12/2019,"3,223.38"
26/12/2019,"3,239.91"
27/12/2019,"3,240.02"
30/12/2019,"3,221.29"
